sku,fecha,cantidad,centro_distribucion,proveedor
SKU_001,2024-01-07,91,CD_NORTE,PROVEEDOR_3
SKU_001,2024-01-14,106,CD_NORTE,PROVEEDOR_3
SKU_001,2024-01-21,78,CD_NORTE,PROVEEDOR_3
SKU_001,2024-01-28,104,CD_NORTE,PROVEEDOR_3
SKU_001,2024-02-04,120,CD_NORTE,PROVEEDOR_3
SKU_001,2024-02-11,101,CD_NORTE,PROVEEDOR_3
SKU_001,2024-02-18,119,CD_NORTE,PROVEEDOR_3
SKU_001,2024-02-25,117,CD_NORTE,PROVEEDOR_3
SKU_001,2024-03-03,121,CD_NORTE,PROVEEDOR_3
SKU_001,2024-03-10,115,CD_NORTE,PROVEEDOR_3
SKU_001,2024-03-17,115,CD_NORTE,PROVEEDOR_3
SKU_001,2024-03-24,122,CD_NORTE,PROVEEDOR_3
SKU_001,2024-03-31,128,CD_NORTE,PROVEEDOR_3
SKU_001,2024-04-07,113,CD_NORTE,PROVEEDOR_3
SKU_001,2024-04-14,127,CD_NORTE,PROVEEDOR_3
SKU_001,2024-04-21,124,CD_NORTE,PROVEEDOR_3
SKU_001,2024-04-28,142,CD_NORTE,PROVEEDOR_3
SKU_001,2024-05-05,122,CD_NORTE,PROVEEDOR_3
SKU_001,2024-05-12,115,CD_NORTE,PROVEEDOR_3
SKU_001,2024-05-19,152,CD_NORTE,PROVEEDOR_3
SKU_001,2024-05-26,89,CD_NORTE,PROVEEDOR_3
SKU_001,2024-06-02,137,CD_NORTE,PROVEEDOR_3
SKU_001,2024-06-09,130,CD_NORTE,PROVEEDOR_3
SKU_001,2024-06-16,99,CD_NORTE,PROVEEDOR_3
SKU_001,2024-06-23,133,CD_NORTE,PROVEEDOR_3
SKU_001,2024-06-30,119,CD_NORTE,PROVEEDOR_3
SKU_001,2024-07-07,106,CD_NORTE,PROVEEDOR_3
SKU_001,2024-07-14,92,CD_NORTE,PROVEEDOR_3
SKU_001,2024-07-21,117,CD_NORTE,PROVEEDOR_3
SKU_001,2024-07-28,96,CD_NORTE,PROVEEDOR_3
SKU_001,2024-08-04,84,CD_NORTE,PROVEEDOR_3
SKU_001,2024-08-11,98,CD_NORTE,PROVEEDOR_3
SKU_001,2024-08-18,95,CD_NORTE,PROVEEDOR_3
SKU_001,2024-08-25,102,CD_NORTE,PROVEEDOR_3
SKU_001,2024-09-01,98,CD_NORTE,PROVEEDOR_3
SKU_001,2024-09-08,119,CD_NORTE,PROVEEDOR_3
SKU_001,2024-09-15,110,CD_NORTE,PROVEEDOR_3
SKU_001,2024-09-22,96,CD_NORTE,PROVEEDOR_3
SKU_001,2024-09-29,85,CD_NORTE,PROVEEDOR_3
SKU_001,2024-10-06,117,CD_NORTE,PROVEEDOR_3
SKU_001,2024-10-13,111,CD_NORTE,PROVEEDOR_3
SKU_001,2024-10-20,141,CD_NORTE,PROVEEDOR_3
SKU_001,2024-10-27,105,CD_NORTE,PROVEEDOR_3
SKU_001,2024-11-03,127,CD_NORTE,PROVEEDOR_3
SKU_001,2024-11-10,110,CD_NORTE,PROVEEDOR_3
SKU_001,2024-11-17,106,CD_NORTE,PROVEEDOR_3
SKU_001,2024-11-24,82,CD_NORTE,PROVEEDOR_3
SKU_001,2024-12-01,119,CD_NORTE,PROVEEDOR_3
SKU_001,2024-12-08,96,CD_NORTE,PROVEEDOR_3
SKU_001,2024-12-15,103,CD_NORTE,PROVEEDOR_3
SKU_001,2024-12-22,113,CD_NORTE,PROVEEDOR_3
SKU_001,2024-12-29,111,CD_NORTE,PROVEEDOR_3
SKU_001,2025-01-05,93,CD_NORTE,PROVEEDOR_3
SKU_001,2025-01-12,107,CD_NORTE,PROVEEDOR_3
SKU_001,2025-01-19,137,CD_NORTE,PROVEEDOR_3
SKU_001,2025-01-26,135,CD_NORTE,PROVEEDOR_3
SKU_001,2025-02-02,137,CD_NORTE,PROVEEDOR_3
SKU_001,2025-02-09,131,CD_NORTE,PROVEEDOR_3
SKU_001,2025-02-16,140,CD_NORTE,PROVEEDOR_3
SKU_001,2025-02-23,135,CD_NORTE,PROVEEDOR_3
SKU_001,2025-03-02,130,CD_NORTE,PROVEEDOR_3
SKU_001,2025-03-09,152,CD_NORTE,PROVEEDOR_3
SKU_001,2025-03-16,131,CD_NORTE,PROVEEDOR_3
SKU_001,2025-03-23,124,CD_NORTE,PROVEEDOR_3
SKU_001,2025-03-30,155,CD_NORTE,PROVEEDOR_3
SKU_001,2025-04-06,156,CD_NORTE,PROVEEDOR_3
SKU_001,2025-04-13,112,CD_NORTE,PROVEEDOR_3
SKU_001,2025-04-20,147,CD_NORTE,PROVEEDOR_3
SKU_001,2025-04-27,104,CD_NORTE,PROVEEDOR_3
SKU_001,2025-05-04,153,CD_NORTE,PROVEEDOR_3
SKU_001,2025-05-11,120,CD_NORTE,PROVEEDOR_3
SKU_001,2025-05-18,146,CD_NORTE,PROVEEDOR_3
SKU_001,2025-05-25,123,CD_NORTE,PROVEEDOR_3
SKU_001,2025-06-01,137,CD_NORTE,PROVEEDOR_3
SKU_001,2025-06-08,109,CD_NORTE,PROVEEDOR_3
SKU_001,2025-06-15,124,CD_NORTE,PROVEEDOR_3
SKU_001,2025-06-22,126,CD_NORTE,PROVEEDOR_3
SKU_001,2025-06-29,141,CD_NORTE,PROVEEDOR_3
SKU_001,2025-07-06,152,CD_NORTE,PROVEEDOR_3
SKU_001,2025-07-13,131,CD_NORTE,PROVEEDOR_3
SKU_001,2025-07-20,125,CD_NORTE,PROVEEDOR_3
SKU_001,2025-07-27,103,CD_NORTE,PROVEEDOR_3
SKU_001,2025-08-03,95,CD_NORTE,PROVEEDOR_3
SKU_001,2025-08-10,119,CD_NORTE,PROVEEDOR_3
SKU_001,2025-08-17,117,CD_NORTE,PROVEEDOR_3
SKU_001,2025-08-24,123,CD_NORTE,PROVEEDOR_3
SKU_001,2025-08-31,124,CD_NORTE,PROVEEDOR_3
SKU_001,2025-09-07,117,CD_NORTE,PROVEEDOR_3
SKU_001,2025-09-14,88,CD_NORTE,PROVEEDOR_3
SKU_001,2025-09-21,125,CD_NORTE,PROVEEDOR_3
